ID,Title,Type,Lat,Long,Location
346,NKS 1713 4to,Destination,55.676097,12.568337,København
347,NKS 1715 4to,Source,55.675,12.5687,Copenhagen
347,NKS 1715 4to,Destination,55.676097,12.568337,København
348,NKS 1720 a 4to,Source,55.675,12.5687,Copenhagen
348,NKS 1720 a 4to,Destination,55.676097,12.568337,København
349,NKS 1735 4to,Source,55.675,12.5687,Copenhagen
349,NKS 1735 4to,Destination,55.676097,12.568337,København
350,NKS 1736 4to,Source,55.675,12.5687,Copenhagen
350,NKS 1736 4to,Destination,55.676097,12.568337,København
351,NKS 1746 4to,Source,55.675,12.5687,Copenhagen
351,NKS 1746 4to,Destination,55.676097,12.568337,København
352,NKS 1747 4to,Source,55.675,12.5687,Copenhagen
352,NKS 1747 4to,Destination,55.676097,12.568337,København
353,NKS 1748 4to,Source,55.675,12.5687,Copenhagen
353,NKS 1748 4to,Destination,55.676097,12.568337,København
354,NKS 1754 4to,Source,55.675,12.5687,Copenhagen
354,NKS 1754 4to,Destination,55.676097,12.568337,København
355,NKS 1755 4to,Source,55.675,12.5687,Copenhagen
355,NKS 1755 4to,Destination,55.676097,12.568337,København
356,NKS 1756 4to,Source,55.675,12.5687,Copenhagen
356,NKS 1756 4to,Destination,55.676097,12.568337,København
357,NKS 1757 4to,Source,55.675,12.5687,Copenhagen
357,NKS 1757 4to,Destination,55.676097,12.568337,København
358,NKS 1758 4to,Source,55.675,12.5687,Copenhagen
358,NKS 1758 4to,Destination,55.676097,12.568337,København
359,NKS 1759 4to,Source,55.675,12.5687,Copenhagen
359,NKS 1759 4to,Destination,55.676097,12.568337,København
360,NKS 1760 4to,Source,55.675,12.5687,Copenhagen
360,NKS 1760 4to,Destination,55.676097,12.568337,København
361,NKS 1761 4to,Source,55.675,12.5687,Copenhagen
361,NKS 1761 4to,Destination,55.676097,12.568337,København
362,NKS 1762 4to,Source,55.675,12.5687,Copenhagen
362,NKS 1762 4to,Destination,55.676097,12.568337,København
363,NKS 1766 4to,Source,55.675,12.5687,Copenhagen
363,NKS 1766 4to,Destination,55.676097,12.568337,København
364,NKS 1767 4to,Source,55.675,12.5687,Copenhagen
364,NKS 1767 4to,Destination,55.676097,12.568337,København
365,NKS 1768 4to,Source,55.675,12.5687,Copenhagen
365,NKS 1768 4to,Destination,55.676097,12.568337,København
366,NKS 1769 4to,Source,55.675,12.5687,Copenhagen
366,NKS 1769 4to,Destination,55.676097,12.568337,København
367,NKS 1772 a 4to,Source,55.675,12.5687,Copenhagen
367,NKS 1772 a 4to,Destination,55.676097,12.568337,København
368,NKS 1774 4to,Source,55.675,12.5687,Copenhagen
368,NKS 1774 4to,Destination,55.676097,12.568337,København
369,NKS 1776 4to,Source,55.675,12.5687,Copenhagen
369,NKS 1776 4to,Destination,55.676097,12.568337,København
370,NKS 1778 b 4to,Source,55.675,12.5687,Copenhagen
370,NKS 1778 b 4to,Destination,55.676097,12.568337,København
371,NKS 1791 4to,Source,55.675,12.5687,Copenhagen
371,NKS 1791 4to,Destination,55.676097,12.568337,København
372,NKS 1792 4to,Source,55.675,12.5687,Copenhagen
372,NKS 1792 4to,Destination,55.676097,12.568337,København
373,NKS 1793 4to,Source,55.675,12.5687,Copenhagen
373,NKS 1793 4to,Destination,55.676097,12.568337,København
374,NKS 1795 4to,Source,55.675,12.5687,Copenhagen
374,NKS 1795 4to,Destination,55.676097,12.568337,København
375,NKS 1801 4to,Source,55.675,12.5687,Copenhagen
375,NKS 1801 4to,Destination,55.676097,12.568337,København
376,NKS 1804 4to,Source,55.675,12.5687,Copenhagen
376,NKS 1804 4to,Destination,55.676097,12.568337,København
377,NKS 1806 4to,Source,55.675,12.5687,Copenhagen
377,NKS 1806 4to,Destination,55.676097,12.568337,København
378,NKS 1807 4to,Source,55.675,12.5687,Copenhagen
378,NKS 1807 4to,Destination,55.676097,12.568337,København
379,NKS 1817 4to,Source,55.675,12.5687,Copenhagen
379,NKS 1817 4to,Destination,55.676097,12.568337,København
380,NKS 1818 4to,Source,55.675,12.5687,Copenhagen
380,NKS 1818 4to,Destination,55.676097,12.568337,København
381,NKS 1824 b 4to,Source,64.116667,-20.533333,Skálholt
381,NKS 1824 b 4to,Destination,55.676097,12.568337,København
382,NKS 1866 4to,Source,55.675,12.5687,Copenhagen
382,NKS 1866 4to,Destination,55.676097,12.568337,København
383,NKS 1869 4to,Source,55.675,12.5687,Copenhagen
383,NKS 1869 4to,Destination,55.676097,12.568337,København
384,NKS 1873 4to,Source,55.675,12.5687,Copenhagen
384,NKS 1873 4to,Destination,55.676097,12.568337,København
385,NKS 1891 4to,Source,55.675,12.5687,Copenhagen
385,NKS 1891 4to,Destination,55.676097,12.568337,København
386,NKS 331 8vo,Source,55.675,12.5687,Copenhagen
386,NKS 331 8vo,Destination,55.676097,12.568337,København
387,NKS 339 8vo,Source,55.675,12.5687,Copenhagen
387,NKS 339 8vo,Destination,55.676097,12.568337,København
388,Papp. 4to nr 1,Source,64.133333,-21.933333,Reykjavík
388,Papp. 4to nr 1,Destination,59.32893,18.06491,Stockholm
389,Papp. 4to nr 17,Source,65.629041,-18.470377,Efstaland
389,Papp. 4to nr 17,Destination,59.32893,18.06491,Stockholm
